id,topic_id,question_text,image,question_type
993,20,"Alongside the Nazi Party, which other extremist group saw their support increase during the Great Depression?",,multiple
994,20,"In the 1932 elections, 15% of the votes were cast for which political party?",,multiple
995,20,Which group in society did the majority of the communist support come from?,,multiple
996,20,Which groups in society feared a communist government?,,multiple
997,20,"Which groups in society increasingly voted for the Nazis, in part to stop the communists gaining power?",,multiple
998,20,What happened to the popularity of the Weimar government during the period 1929-1932?,,multiple
999,20,What did Hitler promise to do to the Treaty of Versailles if he was in power?,,multiple
1000,20,Law and order was a problem between 1929-1932 as violence became common on the streets of Germany.  What did Hitler promise to do if he was in power?,,multiple
1001,20,What was a key focus on much of the Nazi Party propaganda,,short_answer
1002,20,What new approaches to electoral campaigning did Hitler take advantage of?,,multiple
1003,20,"Identify from the following statements, why the SA was seen as a reason to vote for the Nazi Party",,multiple
1004,20,"True or False: During the time of economic and social turmoil, the SA made the Nazi Party appear strong",,boolean
1005,20,True or False: The communists had a bigger private army than the Nazi Party,,boolean
1006,20,True or False: The elections of 1930 and 1932 were peaceful.,,boolean
1007,20,Identify the Nazi policy which would have gained them the support of big business,,multiple
1008,20,Identify the Nazi policy which would have gained them the support of the working class,,multiple
1009,20,Identify the Nazi policy which would have gained them the support of farmers,,multiple
1010,20,"In the 1930 elections, the Nazis won what percentage of the vote in some rural areas?",,multiple
1011,20,True or False: The youth gave support to the Nazis as they were exciting and offering something new,,boolean
1012,20,Which group in society did the Nazis win support from by suggesting that the Nazis were the best thing for Germany and their families?,,multiple
1013,20,True or False: The Nazis increased there support between 1929-1932 because they targetted one group in society,,boolean
1014,20,Who won the April 1932 election with 53% of the votes?,,short_answer
1015,20,True or False: Hindenburg's re-election in 1932 brought political stability to Germany,,boolean
1016,20,What did Bruning ban in 1932 which united right wing parties against the government?,,multiple
1017,20,Why did Bruning's ban on the SS and SA in 1932 unite right wing parties against the government?,,multiple
1018,20,Bruning had a plan to buy up land from large landowners.  What did he intend to do with this land?,,multiple
1019,20,Who became Chancellor in May 1932?,,multiple
1020,20,True or False: There were elections to the Reichstag in July 1932,,boolean
1021,20,"True or False: In the campaigning for the July 1932 election, there was a lot of violence between the Nazi Party and Communist Party",,boolean
1022,20,How many seats did Nazi Party win in the July 1932 election?,,short_answer
1023,20,"Following the July 1932 election, which party was the largest in the Reichstag?",,short_answer
1024,20,"Once the Nazi Party were the largest party in the Reichstag, what did he demand from President Hindenburg?",,multiple
1025,20,True or False: Hindenburg & HItler had a good relationship,,boolean
1026,20,"Why did von Papen call for new elections in November 1932, only 3 months after the last set of elections?",,multiple
1027,20,"Following the November 1932 election, which party was the largest in the Reichstag?",,short_answer
1028,20,Who became the new Chancellor of Germany in December 1932?,,multiple
1029,20,"When von Schleicher became Chancellor in December 1932, what did he try to persuade Hindenburg to do?",,multiple
1030,20,True or False: von Schleicher had no real political support when he was Chancellor so could not govern,,boolean
1031,20,Who persuaded Hindenburg to make Hitler Chancellor?,,multiple
1032,20,True or False: Hindenburg and von Papen believed that they could use Hitler as a figurehead,,boolean
1033,20,Who became Chancellor in January 1933?,,multiple
1034,20,True or False: Hindenburg was happy to rule using Article 48 which weakened the Reichstag,,boolean
1035,20,True or False: von Schleicher & von Papen both undermined the Reichstag by wanting to govern using wealthy industrialists and landowners,,boolean
1036,20,What was Der Sturmer?,,short_answer
1037,21,"Identify from the statements, a reason why Hitler's power was limited when he became Chancellor in 1933",,multiple
1038,21,"Identify from the statements, a reason why Hitler's power was limited when he became Chancellor in 1933",,multiple
1039,21,"Identify from the statements, a reason why Hitler's power was limited when he became Chancellor in 1933",,multiple
1040,21,"Identify from the statements, a reason why Hitler's power was limited when he became Chancellor in 1933",,multiple
1041,21,What event took place on 27 February 1933?,,short_answer
1042,21,Who confessed to starting the Reichstag fire?,,multiple
1043,21,"Marinus van der Lubbe, the individual who confessed to starting the Reichstag fire, was a member of which political party?",,multiple
1044,21,True or False: Marinus van der Lubbe was found guilty of starting the Reichstag fire and was executed,,multiple
1045,21,"According to Hitler, did Marinus van der Lubbe act alone in starting the Reichstag fire?",,multiple
1046,21,How did Hitler use the Reichstag fire to his advantage?,,multiple
1047,21,How many communists were arrested on the night of the Reichstag fire?,,multiple
1048,21,"The day after the Reichstag fire, Hitler persuaded HIndenburg to do what?",,multiple
1049,21,"As well as declaring a state of emergency, what other action did Hindenburg take following the Reichstag fire",,multiple
1050,21,What decree did Hitler issue before the March 1933 election which hindered his political opponents?,,multiple
1051,21,What did the Decree for the Protection of the People and the State allow Hitler to do prior to the March 1933 election?,,multiple
1052,21,"The Decree for the Protection of the People and the State allowed Hitler to ban what, prior to the March 1933 election?",,multiple
1053,21,"True or False: As Hitler controlled the police force following the Reichstag fire, he could ensure that they ignored the violent activities of the SA",,multiple
1054,21,Hitler persuaded Gustav Krupp and other industrialists to bankroll the Nazi campaign for the March 1933 election.  How much did they donate in just one meeting?,,multiple
1055,21,How many people were killed during the campaigning for the March 1933 election?,,multiple
1056,21,How many seats did the Nazi Party win in the March 1933 election?,,short_answer
1057,21,How many seats did the Communist Party win in the March 1933 election?,,multiple
1058,21,True or False: Hitler used his emergency powers to ban the Communist Party from taking up its 81 seats,,multiple
1059,21,What majority did Hitler have in the Reichstag following the March 1933 election?,,multiple
1060,21,Why was it crucial for Hitler to gain a majority in the Reichstag?,,multiple
1061,21,What did Hitler propose to the Reichstag in March 1933?,,short_answer
1062,21,How did Hitler deal with opposition to the Enabling Act in the Reichstag?,,multiple
1063,21,What would the Enabling Act allow Hitler to do?,,multiple
1064,21,The Enabling Act would give Hitler the power to pass laws without consulting the President or Reichstag for how many years?,,short_answer
1065,21,True or False: The Reichstag vote on the Enabling Act was taken under peaceful circumstances,,multiple
1066,21,Did the Communist Party take part in the vote on the Enabling Act?,,multiple
1067,21,True or False: The Reichstag voted the Enabling Act into law,,multiple
1068,21,What year was the Enabling Act renewed?,,short_answer
1069,21,"In effect, what did the Enabling Act allow Hitler to introduce in Germany?",,multiple
1070,21,"Using the Enabling Act, what did HItler ban in May 1933?",,multiple
1071,21,"In May 1933, Hitler attacked the offices of who?",,multiple
1072,21,What did Hitler ban in July 1933?,,short_answer
1073,21,True or False: Germany had become a one-party state by July 1933,,multiple
1074,21,"During 1933, Hitler had focused his attention on removing external opposition to the Nazi Party?",,multiple
1075,21,Who did Hitler believe was a threat to his leadership within the Nazi Party?,,short_answer
1076,21,"At the start of 1934, how members of the SA were there?",,multiple
1077,21,True or False: The SA felt undervalued by Hitler and were therefore loyal to Rohm,,multiple
1078,21,"By 1933, how many of the SA were permanently unemployed?",,multiple
1079,21,Rohm criticised Hitler's links to which group?,,multiple
1080,21,Rohm wanted more of which type of policy?,,multiple
1081,21,Why did army officers view Rohm as a threat?,,multiple
1082,21,Which of the following wanted to reduce the power of the SA so they could increase their own power and that of the SS.,,multiple
1083,21,Which of the following wanted to reduce the power of the SA so they could increase their own power and that of the SS.,,multiple
1084,21,Who was it that warned Hitler that Rohm and the SA were going to attempt to seize power?,,multiple
1085,21,What event removed the threat of Rohm and the SA?,,short_answer
1086,21,When did the Night of the Long Knives take place?,,multiple
1087,21,Which group within the Nazi Party carried out the Night of the Long Knives?,,multiple
1088,21,How many members of the SA were killed during the Night of the Long Knives?,,short_answer
1089,21,True or False: Hitler's actions during the Night of the Long Knives were illegal.,,multiple
1090,21,How did the Nazi Party justify the events that took place on the Night of the Long Knives?,,multiple
1091,21,How did the majority of people react to the Night of the Long Knives?,,multiple
1092,21,Did the SA rival the army following the Night of the Long Knives?,,multiple
1093,21,What happened on 2nd August 1934?,,multiple
1094,21,What title did Hitler give himself after the death of Hindenburg?,,short_answer
1095,21,"Once Hindenburg died, Hitler merged the powers of which two roles in the Reichstag?",,multiple
1096,21,"After the death of Hindenburg, what did Hitler ask of the army?",,multiple
1097,21,What type of state had Hitler created after 1933?,,multiple
1098,21,What would happened to people in a police state that said or did anything to harm the state?,,multiple
1099,21,True or False: A police state was a way of keeping control,,multiple
1100,21,True or False: In 1933 Hitler had tight control of the police,,multiple
1101,21,Identify an organisation which formed part of the police state,,multiple
1102,21,Identify an organisation which formed part of the police state,,multiple
1103,21,Identify an organisation which formed part of the police state,,multiple
1104,21,Who was the leader of the SS?,,multiple
1105,21,Who was the leader of the SD?,,multiple
1106,21,Who was the leader of the Gestapo?,,multiple
1107,21,Which organisation in the police state controlled all the police and security forces?,,multiple
1108,21,What colour uniform did the SS wear?,,multiple
1109,21,Who did the SD spy on?,,multiple
1110,21,What was the role of the Gestapo?,,multiple
1111,21,What did the Gestapo rely on in order to fulfill their role?,,short_answer
1112,21,True or False: The Gestapo were not feared by the general public.,,multiple
1113,21,Who was the SS loyal to?,,multiple
1114,21,How many SS members were there during the 1930s?,,multiple
1115,21,True or False: Himmler believed that the SS did not have to act within the law.,,multiple
1116,21,The SS were expected to marry.  Who were they supposed to marry?,,multiple
1117,21,SS men were examples of what?,,multiple
1118,21,When was the SD formed?,,short_answer
1119,21,Who originally set up the SD?,,short_answer
1120,21,What did the SD keep in order to track all known opponents of the Nazi Party?,,multiple
1121,21,What was the Brown House?,,multiple
1122,21,Where did the SD keep the information on the known opponents of the Nazi Party?,,short_answer
1123,21,True or False: The Gestapo wore uniforms,,multiple
1124,21,When were the Gestapo set up?,,short_answer
1125,21,Who set up the Gestapo?,,multiple
1126,21,Identify a method used by the Gestapo to spy on German citizens,,multiple
1127,21,"In what year were 160,000 people arrested for political offences?",,short_answer
1128,21,What could the Gestapo use when questioning suspects or gaining confessions?,,short_answer
1129,21,What was the main weapon of the Gestapo?,,multiple
1130,21,True or False: People in Germany could be  imprisoned without trial.,,boolean
1131,21,"Where were most people sent, that were arrested by the Gestapo?",,short_answer
1132,21,"For a population of 80 million, how many Gestapo agents were there?",,multiple
1133,21,"What were created, in order to cope with the high number of people who were arrested?",,short_answer
1134,21,Who ran the concentration camps?,,multiple
1135,21,Where was the first Nazi concentration camp opened in 1933?,,multiple
1136,21,Where were concentration camps located?,,multiple
1137,21,Identify a group in society that the Nazis deemed as 'undesirables'? ,,multiple
1138,21,Identify a group in society that the Nazis deemed as 'undesirables'? ,,multiple
1139,21,Name a minority group which the Nazis disapproved of?,,short_answer
1140,21,Identify someone who would be an inmate of a concentration camp,,multiple
1141,21,Identify someone who would be an inmate of a concentration camp,,multiple
1142,21,Identify someone who would be an inmate of a concentration camp,,multiple
1143,21,Identify someone who would be an inmate of a concentration camp,,multiple
1144,21,True or False: Hitler did nothing to control the law courts as he didn't use them,,boolean
1145,21,What happened if judges did not please the Nazi Party?,,multiple
1146,21,True or False: Hitler abolished trial by jury,,boolean
1147,21,Who was it that decided people's innocence or guilt?,,short_answer
1148,21,What did Hitler set up to hear all cases of treasonable-offences against the state?,,short_answer
1149,21,True or False: Judges were hand-picked to work in the People's Court.,,boolean
1150,21,True or False: Trials in the People's Court were broadcast live on the radio,,boolean
1151,21,True or False: Sometimes Hitler imposed sentences himself in the People's Court,,boolean
1152,21,Could you appeal a verdict that was handed down in the People's Court?,,multiple
1153,21,One-third of Germans Christians were...,,multiple
1154,21,Catholics owed their first allegiance to...,,multiple
1155,21,True or False: Catholics had their own schools which taught different values from Nazi state schools,,boolean
1156,21,What agreement was made between Hitler and the Pope in July 1933?,,multiple
1157,21,The Concordat signed by the Pope and Hitler stated that Hitler would not get involved in what?,,multiple
1158,21,The Concordat signed by the Pope and Hitler stated that the Pope would not get involved in what?,,multiple
1159,21,"As part of the Concordat agreement, German bishops had to do what?",,multiple
1160,21,True or False: The Concordat agreement meant that the Catholic church was left to practice as it wished.,,boolean
1161,21,What happened to Catholic schools as the 1930s went on?,,multiple
1162,21,What happened to the Catholic Youth League during the 1930s?,,multiple
1163,21,Pope Pius XI issued a stinging criticism of the Nazi regime in what year?,,short_answer
1164,21,What church organisation was established in 1936?,,short_answer
1165,21,True or False: Some Protestant churches worked with the Nazis due to Hitler's support against anti-Christian Communists,,boolean
1166,21,Who did Hitler appoint as the Reich Bishop of Germany?,,multiple
1167,21,Which Protestant pastors were allowed to continue providing church services?,,multiple
1168,21,What did some Protestant pastors allow to be displayed in their churches?,,short_answer
1169,21,Which group was not allowed to be baptised into the Reich Church?,,short_answer
1170,21,True or False: Jewish teachings of the Old Testament were excluded from Christian teaching.,,boolean
1171,21,True or False: All Protestant pastors supported Hitler and the Nazi regime.,,boolean
1172,21,"In 1933, Martin Niemoller and some other Protestants pastors, set up what league to campaign against Nazi actions?",,short_answer
1173,21,"True or False: When Hitler came to power, he initially tried to work with the Christian church",,boolean
1174,21,True or False: The churches never became 'Nazified',,boolean
1175,21,How did the Nazi Party use censorship to control and influence the attitudes of the German people?,,multiple
1176,21,How did the Nazi Party use propaganda to control and influence the attitudes of the German people?,,multiple
1177,21,Who was made the Minister of People's Enlightenment and Propaganda in 1933?,,multiple
1178,21,True or False: Goebbels wanted Nazi attitudes to be so deeply buried in his propaganda that people did not even know that their attitudes were being changed.,,boolean
1179,21,True or False: Journalists in Nazi Germany were allowed to publish whatever they wanted.,,boolean
1180,21,How many newspapers were closed down by the Nazis in 1935 alone?,,multiple
1181,21,"In 1933, what did Goebbels censor and use to broadcast Nazi propaganda?",,short_answer
1182,21,True or False: All radio stations were put under Nazi control.,,boolean
1183,21,Cheap mass produced radios were sold to the public.  70% of German homes had a radio by what year?,,short_answer
1184,21,"True or False: All radios had to be designed to have a short range, so they could not pick up foreign stations.",,boolean
1185,21,Goebbels organised a mass rally every year to create a sense of unity and advertise the strength of the Nazi Party and Nazi Germany.  Where was this rally held?,,short_answer
1186,21,Identify a way in which Goebbels 'Nazified' sports.,,multiple
1187,21,Identify a way in which Goebbels 'Nazified' sports.,,multiple
1188,21,Identify a way in which Goebbels 'Nazified' sports.,,multiple
1189,21,"Which sporting event, that was held in 1936, was used to show Nazi Germany in a positive light world wide? ",,short_answer
1190,21,True or False: The Nazis built the largest stadium in world to host the Berlin olympics,,boolean
1191,21,How many medals did Germany win during the 1936 Berlin Olympics?,,short_answer
1192,21,Which country won the most medals during the 1936 Berlin Olympics?,,multiple
1193,21,"True or False: If the press printed any information about the Olympics before the official press report, it was 'at their own risk'.",,boolean
1194,21,The Nazis favoured cultural activities which stressed...,,multiple
1195,21,The Nazis favoured cultural activities which stressed...,,multiple
1196,21,What year was the Reich Chamber of Culture set up?,,short_answer
1197,21,What was the role of the Reich Chamber of Culture?,,multiple
1198,21,True or False: The Nazis set up a Reich Chamber of Visual Arts,,boolean
1199,21,True or False: All painters & sculptors in Germany were required to apply to be members of the Reich Chamber of Visual Arts,,boolean
1200,21,"Over 12,000 paintings and sculptures were removed from art galleries in what year?",,short_answer
1201,21,Who might visit artists' studios to check that the Chamber of FIne Arts rules were not broken?,,multiple
1202,21,What did the Nazis want buildings and their architecture to represent?,,multiple
1203,21,Which architect became the personal favourite of Hitler?,,multiple
1204,21,Identify one of Albert Speer's major building projects.,,multiple
1205,21,Identify one of Albert Speer's major building projects.,,multiple
1206,21,True or False: A key feature of Speer's buildings were that they were small.,,boolean
1207,21,Speer gained inspiration for his designs from where?,,multiple
1208,21,What type of music was banned in Nazi Germany?,,short_answer
1209,21,True or False: Jazz music was banned in Nazi Germany as it was seen as the work of black people and therefore inferior.,,boolean
1210,21,What type of music was liked by the Nazi Party?,,multiple
1211,21,Who had to approve the publishing of any new books in Nazi Germany?,,multiple
1212,21,What happened to existing books that contained views which the Nazis didn't approve of?,,multiple
1213,21,How many writers were banned by the Nazi regime?,,multiple
1214,21,"In May 1933, what did students in Berlin do to 20,000 books which were written by Jews, communists and anti-Nazi authors?",,multiple
1215,21,"True or False: Before any film shown in the cinema, there was a 45 minute newsreel that showed Germany's achievements",,boolean
1216,21,Who had to approve the plot details for any new film made in Nazi Germany?,,multiple
1217,21,How many films did the Nazi Party develop?,,multiple
1218,21,Identify a youth group that were opposed to the Nazi Party,,multiple
1219,21,True or False: It is hard to know how much opposition there was to Hitler and the Nazis because orgainsed opposition was banned.,,boolean
1220,21,Why were the Pastors' Emergency League (PEL) opposed to the Nazis?,,multiple
1221,21,Why were the Pastors' Emergency League (PEL) opposed to the Nazis?,,multiple
1222,21,What did the Pastors' Emergency League (PEL) set up in 1934?,,short_answer
1223,21,"Approximately, how many Protestants Pastors remained in the Reich Church after the establishment of the Confessing Church?",,multiple
1224,21,"Approximately, how many Protestant Pastors joined the Confessing Church once it was established in 1934?",,multiple
1225,21,How many Protestant Pastors were arrested and sent to the concentration camps by the Nazis?,,multiple
1226,21,How many Catholic priests were eventually imprisoned in the Priests' Block at Dachau concentration camp?,,multiple
1227,21,True or False: Opposition from religious groups to the Nazis was limited.,,boolean
1228,21,True or False: There was big attendance at church services in defiance of the Nazis.,,boolean
1229,21,True or False: The Edelweiss Pirates were an opposition group that emerged in the late 1930s in upper class districts of big German cities.,,boolean
1230,21,What symbol did the Edelweiss Pirates use to show they were members of this opposition group?,,multiple
1231,21,True or False: The Edelweiss Pirates consisted of purely teenage boys.,,boolean
1232,21,"What did the teenage boys, that were in the Edelweiss Pirates, resent about the Nazi regime?",,multiple
1233,21,The Edelweiss Pirates followed fashion from which country?,,multiple
1234,21,True or False: The Edelweiss Pirates would taunt or attack Hitler Youth members if they saw them on the streets,,boolean
1235,21,True or False: The Swing Youth were mainly teenagers from the working class districts of big German cities.,,boolean
1236,21,The Swing Youth admired culture from which country?,,multiple
1237,21,What was a favourite dance of the Swing Youth movement?,,short_answer
1238,21,"True or False: The Swing Youth organised illegal dances that were attended by up to 6,000 young people.",,boolean
1239,21,True or False: Up to 1939 the opposition of the Edelweiss Pirates and Swing Youth to the Nazis was limited.,,boolean
1240,21,What was the main motive for youth opposition to the Nazi Party?,,multiple
1241,21,How many members of the Edelweiss Pirates were there in 1939?,,multiple
1242,21,True or False: The Edelweiss Pirates and Swing Youth were typical of German youth.,,boolean
1243,21,Name the Nazi leader who was put in charge of the SD and Gestapo.,,multiple
1244,22,The Nazis believed that women should adopt which role?,,multiple
1245,22,The Nazis believed that the male role should be...,,multiple
1246,22,"True or False: According to Hitler, the role of women was not as important as that of men.",,multiple
1247,22,How did the Nazis believe women should look?,,multiple
1248,22,What were Nazi views about women in the workplace?,,multiple
1249,22,True or False: The Nazis disapproved of women in professions such as medicine and the law.,,multiple
1250,22,True or False: Women were encouraged to marry and have as many children as possible.,,multiple
1251,22,Why were the Nazi Party keen on women having lots of children?,,multiple
1252,22,"In 1934, the Nazis appointed a Reich Women's Leader to oversee all policies relating to women.  What was her name?",,multiple
1253,22,All women's organisations were forced to merge into an organisation called the German Women's Enterprise.  What happened to women's organisations that refused to merge?,,multiple
1254,22,How many members did the German Women's Enterprise eventually have?,,multiple
1255,22,"True or False: By 1939, 1.7 million women had attended Nazi courses on subjects such as childcare, sewing, and cooking",,multiple
1256,22,When was the Law for the Encouragement of Marriage introduced?,,short_answer
1257,22,How did the Law for the Encouragement of Marriage actually encourage marriage?,,multiple
1258,22,What did women have to do in order for them to receive a marriage loan?,,multiple
1259,22,How much was the loan that was provided to encourage young couples to marry?,,multiple
1260,22,How did the Law for the Encouragement of Marriage encourage couples to have children?,,multiple
1261,22,"The Nazis changed the divorce law, so that if a wife couldn't or wouldn't have children, this could be used as grounds for divorce by the husband.  What year was this change introduced?",,short_answer
1262,22,The Mother's Cross were to encourage...,,multiple
1263,22,"How many children did women have to have, in order to receive a bronze Mother's Cross?",,multiple
1264,22,"How many children did women have to have, in order to receive a silver Mother's Cross?",,multiple
1265,22,"How many children did women have to have, in order to receive a gold Mother's Cross?",,multiple
1266,22,What were the Hitler Youth ordered to do if they saw a woman wearing a gold Mother's Cross?,,multiple
1267,22,True or False: Mothers of ten children were expected to name Hitler as the godfather of the tenth child.,,multiple
1268,22,True or False: Mothers of ten children were expected to name their tenth child Adolf if it was a boy.,,multiple
1269,22,Lebensborn was a programme to encourage...,,multiple
1270,22,When was the Lebensborn programme started by Heinrich Himmler?,,short_answer
1271,22,"True or False: To begin with, the Lebensborn programme only provided nurseries and financial aid for women who had children with Jewish men",,multiple
1272,22,"As part of the Lebensborn programme, who were single women encouraged to breed with?",,multiple
1273,22,True or False: The Lebensborn programme was designed to create 'genetically pure' children for worthy German families.,,multiple
1274,22,"Between 1938 and 1941, one Lebensborn home helped how many mothers give birth?",,multiple
1275,22,What did the Nazis use to try and persuade women to leave work?,,short_answer
1276,22,How did Nazi posters show women?,,multiple
1277,22,What were women told to concentrate on by the Nazi Party?,,multiple
1278,22,"In what year were women banned from professional posts such as teachers, doctors and civil servants?",,short_answer
1279,22,"By what year had around 360,000 women given up work?",,short_answer
1280,22,No woman could become a judge or a lawyer by what year?,,short_answer
1281,22,What were girls taught in schools?,,multiple
1282,22,"In 1937, grammar schools for girls, which prepared them for university, were banned.  True or False?",,multiple
1283,22,What happened to the number of female students starting higher education between 1932 and 1939?,,multiple
1284,22,True or False: Women were encouraged to wear whatever clothes made them comfortable.,,multiple
1285,22,True or False: Women were encouraged to tie their hair back in plaits or a bun,,multiple
1286,22,True or False: Women were allowed to dye their hair if they wished,,multiple
1287,22,True or False: Women were encouraged to wear make-up,,multiple
1288,22,True or False: Nazi policies towards women were highly successful.,,multiple
1289,22,The Nazi policies towards women had the desired effect as...,,multiple
1290,22,The Nazi policies towards women had the desired effect as...,,multiple
1291,22,The Nazi policies towards women had the desired effect as...,,multiple
1292,22,What did some women think about Nazi policies towards women?,,multiple
1293,22,True or False: The impact of some Nazi policies towards women was either minor or temporary,,multiple
1294,22,"In 1937, the Nazis reversed a key policy towards women.  What did they ask women to do from 1937?",,multiple
1295,22,What was the aim of Nazi policies towards the youth?,,multiple
1296,22,"According to Nazi policies towards the youth, boys and girls were to be treated the same?",,multiple
1297,22,Nazi propaganda encouraged the youth to see Hitler as what?,,multiple
1298,22,"True or False: By 1936, all sports facilities for young people had been taken over by the Hitler Youth.",,multiple
1299,22,It became compulsory to join the Hitler Youth in what year?,,short_answer
1300,22,The Hitler Youth were a...,,multiple
1301,22,"In the Hitler Youth, who did the members have to swear allegiance to?",,short_answer
1302,22,Why was Hitler so focused on the youth?,,multiple
1303,22,What were members of the Hitler Youth encouraged to do if they knew anyone who was disloyal to the Nazis?,,multiple
1304,22,Identify an activity that was undertaken by boys in the Hitler Youth,,multiple
1305,22,Identify an activity that was undertaken by boys in the Hitler Youth,,multiple
1306,22,Identify an activity that was undertaken by boys in the Hitler Youth,,multiple
1307,22,Identify an activity that was undertaken by boys in the Hitler Youth,,multiple
1308,22,Identify an activity that was undertaken by boys in the Hitler Youth,,multiple
1309,22,True or False: Activities in the Hitler Youth stressed the need for independence,,multiple
1310,22,True or False: Hitler Youth members might be drilled by SA instructors,,multiple
1311,22,What would happen to Hitler Youth members who disobeyed instructions?,,multiple
1312,22,What was the girls arm of the Hitler Youth called?,,short_answer
1313,22,Identify an activity that was undertaken by girls in the League of German Maidens,,multiple
1314,22,Identify an activity that was undertaken by girls in the League of German Maidens,,multiple
1315,22,Identify an activity that was undertaken by girls in the League of German Maidens,,multiple
1316,22,What activities would both boys and girls do in youth groups?,,multiple
1317,22,Who were German women encouraged to marry?,,multiple
1318,22,True or False: The youth in Germany all loved the Nazi youth groups,,multiple
1319,22,Who was made Education Minister in 1934?,,multiple
1320,22,"True or False: The education minister, Bernhard Rust stated that 'the whole purpose of education is to create Nazis'",,multiple
1321,22,All teachers had to swear an oath of loyalty to who?,,short_answer
1322,22,What were all teachers forced to join?,,multiple
1323,22,Teachers had to start and end every lesson with the children doing what?,,multiple
1324,22,What was a new subject that was taught in schools during the Nazi regime?,,multiple
1325,22,Which racial group were children told were superior to all others?,,short_answer
1326,22,What happened to the amount of time in schools for PE and sports?,,multiple
1327,22,The curriculum for boys and girls was...,,multiple
1328,22,What subject became compulsory for girls?,,multiple
1329,22,Why did Domestic Science become compulsory for girls?,,multiple
1330,22,All new textbooks had to be approved by the Nazis from which year?,,short_answer
1331,22,What book became a compulsory school text?,,short_answer
1332,22,True or False: Pupils gathered together in school halls to listen to major political speeches on the radio,,multiple
1333,22,How many people were unemployed in Germany when Hitler became Chancellor?,,multiple
1334,22,Unemployment was a priority for Hitler.  Who might unemployed workers begin to support if Hitler could not solve unemployment?,,multiple
1335,22,"By 1939, unemployment in Germany had fallen to what?",,multiple
1336,22,What organisation did the Nazi Party set up in 1933 to provide paid work for the unemployed?,,multiple
1337,22,Identify a job that would be undertaken by a member of the Labour Service (RAD),,multiple
1338,22,Identify a job that would be undertaken by a member of the Labour Service (RAD),,multiple
1339,22,Identify a job that would be undertaken by a member of the Labour Service (RAD),,multiple
1340,22,True or False: To begin with the Labour Service (RAD) was voluntary.,,boolean
1341,22,What year was the Labour Service (RAD) made compulsory?,,short_answer
1342,22,How many months service did all men have to do in the Labour Service (RAD) from 1935?,,multiple
1343,22,True or False: The Labour Service (RAD) was very popular,,boolean
1344,22,True or False: The rate of pay in the Labour Service (RAD) was low,,boolean
1345,22,"Identify a scheme introduced under the Nazi regime, that was designed to tackle unemployment",,multiple
1346,22,"True or False: The Nazis planned a 7,000 mile network of dual-carriageway roads to improve transport in Germany",,boolean
1347,22,"In September 1933, Hitler personally started construction of the very first...",,short_answer
1348,22,When was the first stretch of autobahn opened in Germany?,,short_answer
1349,22,How many men were employed to build motorways in 1935?,,multiple
1350,22,"By 1938, how many kilometres of motorway had been finished?",,multiple
1351,22,Identify a public works scheme that was financed by the Nazis,,multiple
1352,22,Identify a public works scheme that was financed by the Nazis,,multiple
1353,22,Identify a public works scheme that was financed by the Nazis,,multiple
1354,22,Identify a public works scheme that was financed by the Nazis,,multiple
1355,22,How much money did the Nazi Party spend on public works by 1938?,,multiple
1356,22,Why did the Nazi Party fund so many public works projects in Germany?,,multiple
1357,22,True or False: One of HItler's main aims in government was boosting Germany's armed forces.,,boolean
1358,22,What year did Hitler introduce conscription?,,short_answer
1359,22,How much were the Nazi Party spending on arms (weapons) by 1939?,,multiple
1360,22,"In 1933, there were only 4,000 people employed in the aircraft construction industry.  By 1935, what had this figure grown to?",,multiple
1361,22,What is invisible unemployment?,,multiple
1362,22,Identify a group in Nazi Germany that were forced to give up work.,,multiple
1363,22,Identify a group in Nazi Germany that were forced to give up work.,,multiple
1364,22,Men who would have been unemployed were forced to join which organisation under the Nazi regime?,,short_answer
1365,22,True or False: People who could only find part-time work were counted as fully employed,,boolean
1366,22,In the 1930s the Nazis reduced the official unemployment figures by how many million?,,multiple
1367,22,True or False: Germany was the only country that saw a fall in unemployment levels in the 1930s,,boolean
1368,22,"True or False: Some unemployed people, such as Jews, women and political prisoners were not counted in official figures",,boolean
1369,22,"Under the Nazis, wages of the German workers generally...",,multiple
1370,22,Wages rose the most in which of the two industries...,,multiple
1371,22,The rise in wages in the 1930s was cancelled out by...,,multiple
1372,22,"Between 1933 and 1939, food prices rose by...",,multiple
1373,22,"True or False: Higher earners like skilled workers, could pay the extra cost of food and had money left over to buy more luxury goods",,boolean
1374,22,"True or False: Low earners like unskilled workers, could pay the extra cost of food and had money left over to buy more luxury goods",,boolean
1375,22,"Under the Nazis, the number of hours worked in a week....",,multiple
1376,22,What did Hitler set up to replace trade unions in 1933?,,multiple
1377,22,What did the DAF (German Labour Front) do?,,multiple
1378,22,"The DAF (German Labour Front) protected the rights of workers by setting a maximum length of the working week.  However, what happened to the working week under the Nazis?",,multiple
1379,22,How many additional hours a week did German workers have to work under the Nazi regime?,,multiple
1380,22,What did the Nazi Party set up in 1933 to improve the standard of living of the German workers?,,multiple
1381,22,What did the KdF (Strength through Joy) provide for the German workers to ensure they were happy?,,multiple
1382,22,"By 1936, how many members were there of the KdF (Strength through Joy)",,multiple
1383,22,German workers could pay 5 marks per week from their wages to purchase...,,multiple
1384,22,By 1938 the factories making the 'People's Car' changed to produce...,,multiple
1385,22,How many people that paid for a Volkswagen car received one?,,short_answer
